iter	Passed	Remaining
414	3267	4606
415	3278	4602
416	3283	4590
417	3285	4575
418	3296	4571
419	3300	4557
420	3305	4545
421	3312	4536
422	3316	4524
423	3325	4517
424	3332	4508
425	3345	4507
426	3355	4502
427	3359	4490
428	3365	4479
429	3373	4472
430	3377	4458
431	3385	4451
432	3389	4438
433	3393	4425
434	3396	4411
435	3408	4409
436	3422	4408
437	3433	4405
438	3458	4419
439	3465	4410
440	3468	4396
441	3483	4397
442	3498	4398
443	3505	4390
444	3519	4389
445	3523	4376
446	3534	4372
447	3539	4360
448	3552	4359
449	3555	4345
450	3559	4333
451	3566	4324
452	3575	4317
453	3580	4306
454	3587	4296
455	3590	4283
456	3595	4271
457	3607	4269
458	3612	4258
459	3626	4256
460	3635	4250
461	3648	4248
462	3656	4240
463	3662	4230
464	3666	4218
465	3670	4206
466	3675	4195
467	3680	4183
468	3683	4170
469	3686	4157
470	3692	4147
471	3698	4137
472	3702	4125
473	3713	4120
474	3717	4109
475	3725	4101
476	3729	4089
477	3733	4076
478	3739	4067
479	3743	4055
480	3748	4044
481	3751	4031
482	3769	4034
483	3772	4021
484	3778	4012
485	3787	4005
486	3790	3992
487	3795	3982
488	3800	3971
489	3805	3961
490	3813	3953
491	3821	3945
492	3836	3945
493	3840	3933
494	3845	3922
495	3851	3913
496	3854	3901
497	3859	3890
498	3870	3886
499	3874	3874
500	3877	3862
501	3886	3855
502	3892	3846
503	3897	3835
504	3900	3823
505	3904	3812
506	3909	3801
507	3913	3790
508	3920	3781
509	3924	3770
510	3927	3758
511	3931	3747
512	3936	3737
513	3939	3725
514	3943	3713
515	3952	3707
516	3963	3702
517	3967	3692
518	3975	3684
519	3979	3673
520	3982	3661
521	3996	3660
522	4000	3649
523	4014	3646
524	4018	3635
525	4031	3633
526	4034	3621
527	4047	3618
528	4050	3606
529	4059	3599
530	4064	3589
531	4069	3580
532	4080	3574
533	4083	3563
534	4088	3553
535	4093	3543
536	4099	3534
537	4102	3523
538	4111	3516
539	4117	3507
540	4121	3496
541	4128	3488
542	4139	3484
543	4155	3483
544	4158	3471
545	4169	3466
546	4174	3457
547	4185	3452
548	4190	3442
549	4193	3431
550	4204	3426
551	4209	3416
552	4215	3407
553	4225	3401
554	4235	3396
555	4242	3388
556	4246	3377
557	4258	3373
558	4266	3366
559	4272	3356
560	4275	3345
561	4280	3336
562	4284	3325
563	4289	3315
564	4292	3305
565	4296	3294
566	4303	3286
567	4309	3277
568	4314	3268
569	4319	3258
570	4328	3252
571	4332	3241
572	4335	3230
573	4342	3222
574	4347	3213
575	4350	3202
576	4354	3192
577	4360	3183
578	4377	3183
579	4382	3173
580	4390	3166
581	4394	3155
582	4399	3146
583	4409	3141
584	4415	3132
585	4424	3125
586	4428	3115
587	4443	3113
588	4446	3102
589	4457	3097
590	4462	3088
591	4464	3077
592	4473	3070
593	4476	3059
594	4480	3049
595	4486	3041
596	4495	3034
597	4499	3024
598	4508	3018
599	4512	3008
600	4515	2997
601	4523	2990
602	4530	2982
603	4536	2974
604	4545	2967
605	4552	2959
606	4556	2950
607	4560	2940
608	4568	2933
609	4574	2924
610	4580	2916
611	4590	2910
612	4593	2900
613	4600	2891
614	4604	2882
615	4610	2873
616	4622	2869
617	4628	2861
618	4638	2855
619	4645	2846
620	4648	2837
621	4664	2834
622	4667	2824
623	4675	2817
624	4682	2809
625	4686	2799
626	4691	2791
627	4699	2783
628	4702	2773
629	4707	2764
630	4713	2756
631	4716	2746
632	4721	2737
633	4727	2729
634	4731	2719
635	4735	2710
636	4740	2701
637	4744	2692
638	4750	2683
639	4752	2673
640	4758	2665
641	4762	2655
642	4766	2646
643	4770	2637
644	4784	2633
645	4795	2628
646	4801	2619
647	4812	2614
648	4826	2610
649	4832	2602
650	4840	2594
651	4855	2591
652	4863	2584
653	4869	2576
654	4873	2566
655	4877	2557
656	4882	2548
657	4886	2539
658	4889	2530
659	4898	2523
660	4904	2515
661	4909	2506
662	4919	2500
663	4924	2491
664	4929	2483
665	4933	2474
666	4938	2465
667	4941	2456
668	4955	2451
669	4967	2446
670	4972	2437
671	4975	2428
672	4979	2419
673	4983	2410
674	4987	2401
675	4990	2391
676	4993	2382
677	5001	2375
678	5008	2367
679	5021	2362
680	5028	2355
681	5036	2348
682	5045	2341
683	5050	2333
684	5056	2325
685	5063	2317
686	5069	2309
687	5079	2303
688	5084	2295
689	5091	2287
690	5101	2281
691	5104	2271
692	5109	2263
693	5114	2255
694	5119	2246
695	5125	2238
696	5128	2229
697	5134	2221
698	5138	2212
699	5141	2203
700	5146	2195
701	5151	2186
702	5154	2177
703	5165	2171
704	5169	2163
705	5173	2154
706	5183	2148
707	5187	2139
708	5192	2131
709	5197	2122
710	5203	2115
711	5207	2106
712	5221	2101
713	5225	2093
714	5237	2087
715	5241	2079
716	5251	2072
717	5254	2063
718	5257	2054
719	5261	2046
720	5266	2037
721	5269	2029
722	5276	2021
723	5281	2013
724	5287	2005
725	5293	1997
726	5298	1989
727	5304	1982
728	5308	1973
729	5315	1965
730	5323	1958
731	5326	1950
732	5335	1943
733	5340	1935
734	5343	1926
735	5351	1919
736	5354	1910
737	5357	1902
738	5361	1893
739	5364	1884
740	5369	1876
741	5372	1868
742	5377	1860
743	5380	1851
744	5394	1846
745	5401	1839
746	5417	1835
747	5430	1829
748	5434	1821
749	5440	1813
750	5454	1808
751	5457	1799
752	5463	1792
753	5471	1785
754	5474	1776
755	5479	1768
756	5486	1761
757	5492	1753
758	5501	1746
759	5509	1739
760	5512	1731
761	5519	1724
762	5524	1715
763	5527	1707
764	5539	1701
765	5543	1693
766	5545	1684
767	5561	1679
768	5572	1673
769	5580	1667
770	5585	1658
771	5600	1654
772	5609	1647
773	5619	1640
774	5631	1634
775	5638	1627
776	5641	1619
777	5652	1612
778	5656	1604
779	5665	1597
780	5670	1590
781	5685	1584
782	5691	1577
783	5705	1571
784	5708	1563
785	5723	1558
786	5726	1549
787	5740	1544
788	5743	1535
789	5759	1531
790	5774	1525
791	5780	1517
792	5793	1512
793	5798	1504
794	5801	1496
795	5814	1490
796	5820	1482
797	5831	1476
798	5840	1469
799	5845	1461
800	5849	1453
801	5852	1444
802	5863	1438
803	5867	1430
804	5870	1422
805	5876	1414
806	5881	1406
807	5884	1398
808	5892	1391
809	5898	1383
810	5902	1375
811	5905	1367
812	5909	1359
813	5917	1352
814	5921	1344
815	5925	1336
816	5935	1329
817	5939	1321
818	5952	1315
819	5957	1307
820	5960	1299
821	5966	1292
822	5970	1284
823	5973	1275
824	5984	1269
825	5988	1261
826	5994	1253
827	6008	1248
828	6017	1241
829	6026	1234
830	6034	1227
831	6039	1219
832	6056	1214
833	6059	1206
834	6074	1200
835	6076	1192
836	6080	1184
837	6094	1178
838	6097	1170
839	6114	1164
840	6130	1159
841	6145	1153
842	6148	1145
843	6162	1139
844	6176	1133
845	6180	1125
846	6193	1118
847	6196	1110
848	6200	1102
849	6215	1096
850	6228	1090
851	6232	1082
852	6245	1076
853	6260	1070
854	6274	1064
855	6277	1056
856	6291	1049
857	6295	1041
858	6298	1033
859	6311	1027
860	6318	1020
861	6332	1013
862	6335	1005
863	6341	998
864	6345	990
865	6348	982
866	6351	974
867	6359	967
868	6368	960
869	6373	952
870	6380	945
871	6385	937
872	6389	929
873	6403	923
874	6407	915
875	6423	909
