iter	RMSE
127	66856.66226
128	66820.68104
129	66789.71228
130	66763.84055
131	66741.37166
132	66709.09826
133	66676.77662
134	66657.16901
135	66637.12358
136	66615.27944
137	66585.0914
138	66539.64579
139	66517.6723
140	66459.81549
141	66420.36527
142	66377.17304
143	66339.4186
144	66307.48158
145	66272.85641
146	66237.24847
147	66188.43149
148	66175.25276
149	66146.02004
150	66117.78148
151	66098.13465
152	66083.50705
153	66070.71958
154	66036.96194
155	65994.61318
156	65981.83852
157	65955.55705
158	65940.18769
159	65931.98694
160	65904.77806
161	65857.50207
162	65842.75946
163	65815.63523
164	65786.30488
165	65760.36965
166	65743.64742
167	65714.92063
168	65696.63747
169	65673.3453
170	65654.82857
171	65638.574
172	65614.86098
173	65597.33821
174	65554.4173
175	65530.25239
176	65518.3523
177	65484.7247
178	65465.77975
179	65454.43264
180	65415.01285
181	65381.2215
182	65372.27849
183	65361.74447
184	65324.0706
185	65314.88292
186	65292.12365
187	65283.45793
188	65253.67502
189	65227.02369
190	65209.28916
191	65189.22146
192	65150.66118
193	65142.6357
194	65119.61778
195	65091.4427
196	65052.84297
197	65028.15093
198	64993.26215
199	64966.0268
200	64949.06999
201	64929.46598
202	64901.64755
203	64874.67059
204	64840.69379
205	64809.24908
206	64773.53251
207	64742.11143
208	64713.71925
209	64692.011
210	64665.73334
211	64634.46936
212	64613.69908
213	64584.76618
214	64551.53417
215	64530.16151
216	64496.06984
217	64475.74696
218	64459.58711
219	64449.15147
220	64426.54078
221	64406.61677
222	64386.91734
223	64372.91099
224	64359.77369
225	64331.84305
226	64320.154
227	64296.60893
228	64269.74153
229	64249.85188
230	64234.93401
231	64215.74542
232	64184.0798
233	64164.81575
234	64160.30108
235	64141.84912
236	64123.07807
237	64093.11412
238	64092.02645
239	64071.22705
240	64051.24299
241	63994.47559
242	63975.41355
243	63963.96569
244	63962.93972
245	63935.82748
246	63934.80643
247	63912.05917
248	63899.2359
249	63883.39154
250	63853.3634
251	63835.56481
252	63819.56105
253	63800.80504
254	63780.68513
255	63762.1903
256	63761.1393
257	63760.22708
258	63748.83091
259	63712.65206
260	63700.02735
261	63683.21056
262	63669.84811
263	63657.00831
264	63641.53947
265	63610.74534
266	63586.6357
267	63569.64095
268	63559.20606
269	63558.26223
270	63532.62986
271	63513.25478
272	63500.12733
273	63469.64952
274	63451.95123
275	63439.76442
276	63407.67181
277	63378.21609
278	63349.93269
279	63334.97419
280	63299.48811
281	63280.97259
282	63257.48463
283	63235.81148
284	63211.56762
285	63186.94569
286	63165.93882
287	63152.76423
288	63141.7767
289	63140.92965
290	63115.64902
291	63099.32995
292	63082.15189
293	63075.56141
294	63050.93545
295	63028.31365
296	63010.94954
297	62989.5951
298	62961.95327
299	62940.23104
300	62919.85835
301	62910.5109
302	62882.2705
303	62875.21787
304	62874.48261
305	62865.00444
306	62841.26501
307	62833.76431
308	62827.49086
309	62812.73806
310	62811.86597
311	62797.0881
312	62782.99021
313	62772.95622
314	62761.74115
315	62750.30034
316	62729.17462
317	62695.79834
318	62664.18134
319	62653.35634
320	62636.47036
321	62610.24662
322	62609.53838
323	62589.63921
324	62572.60931
325	62550.73586
326	62550.15129
327	62530.46114
328	62518.92253
329	62495.53695
330	62494.93431
331	62479.37486
332	62468.75819
333	62443.66447
334	62426.36884
335	62418.30515
336	62417.8349
337	62407.45838
338	62379.29962
339	62352.19062
340	62320.87624
341	62308.62417
342	62278.29076
343	62240.95782
344	62227.5022
345	62210.0731
346	62202.45067
347	62201.94421
348	62194.60183
349	62184.597
350	62165.47306
351	62133.1084
352	62114.05664
353	62097.53724
354	62089.83681
355	62062.59623
356	62051.6797
357	62028.52459
358	62027.8544
359	62016.72558
360	62004.04018
361	61989.75411
362	61976.15071
363	61951.43613
364	61938.69648
365	61929.46616
366	61914.52031
367	61898.85788
368	61886.99952
369	61871.40299
370	61856.14242
371	61839.92856
372	61814.9484
373	61790.84651
374	61784.54697
375	61767.78795
376	61755.04477
377	61742.74078
378	61728.28249
379	61709.29071
380	61698.12725
381	61675.59519
382	61665.87615
383	61651.69208
384	61635.64545
385	61612.39949
386	61602.39738
387	61586.56612
388	61566.75645
389	61559.65162
390	61543.69447
391	61535.4203
392	61511.83029
393	61504.68787
394	61492.94221
395	61480.9207
396	61470.1693
397	61448.77629
398	61432.07315
399	61422.77931
400	61412.78567
401	61381.26658
402	61376.28963
403	61352.06014
404	61336.35288
405	61322.22669
406	61307.80677
407	61305.35865
408	61288.12754
409	61283.99292
410	61280.51889
411	61265.93773
412	61246.12964
413	61241.81422
414	61233.99455
415	61219.66354
416	61202.02262
417	61190.43356
418	61178.72101
419	61167.03217
420	61156.27564
421	61148.05243
422	61131.55929
423	61125.81236
424	61114.95927
425	61092.14902
426	61070.52385
427	61063.69516
428	61054.95196
429	61039.53283
430	61019.74755
431	61008.44525
432	60977.54214
433	60968.72638
434	60959.17235
435	60943.88276
436	60924.65774
437	60910.76073
438	60901.57456
439	60892.89639
440	60875.67453
441	60869.68142
442	60854.03691
443	60835.88727
444	60829.88596
445	60819.52018
446	60811.18423
447	60795.96055
448	60773.10881
449	60753.91376
450	60744.74411
451	60737.22719
452	60716.10357
453	60708.33159
454	60699.77549
455	60687.52985
456	60671.26736
457	60642.57659
458	60628.27088
459	60612.64115
460	60602.05304
461	60598.79629
462	60581.39752
463	60573.6818
464	60568.59045
465	60560.88649
466	60537.3519
467	60533.0439
468	60521.11409
469	60513.54701
470	60509.71272
471	60505.85143
472	60491.70621
473	60488.24672
474	60465.69726
475	60453.35481
476	60434.6143
477	60427.32184
478	60399.559
479	60389.94388
480	60379.2248
481	60371.2347
482	60361.97735
483	60337.705
484	60321.65943
485	60307.62183
486	60290.38524
487	60282.90213
488	60274.29627
489	60261.30426
490	60242.61481
491	60224.20349
492	60217.24578
493	60209.35341
494	60191.50894
495	60181.35246
496	60175.95628
497	60155.16738
498	60133.02687
499	60119.58013
500	60097.72448
501	60078.58577
502	60069.39151
503	60058.20586
504	60049.28855
505	60042.83879
506	60029.05127
507	60015.61606
508	59994.30971
509	59985.93697
510	59979.98227
511	59972.995
512	59959.68196
513	59953.54129
514	59936.96536
515	59919.34311
516	59910.446
517	59900.71527
518	59887.78318
519	59876.02651
520	59851.93597
521	59833.30405
522	59826.33865
523	59812.97176
524	59807.99682
525	59794.99232
526	59785.93968
527	59773.75692
528	59762.44919
529	59755.5711
530	59747.18991
531	59730.37179
532	59720.09173
533	59712.01875
534	59705.96215
535	59699.99822
536	59690.667
537	59680.64903
538	59665.73169
539	59642.77263
540	59634.68314
541	59626.47417
542	59613.62511
543	59601.72854
544	59588.20583
545	59578.28473
546	59573.58088
547	59555.916
548	59541.74993
549	59524.1771
550	59508.01114
551	59490.86393
552	59487.26933
553	59483.54424
554	59463.66947
555	59454.58367
556	59441.8013
557	59419.70707
558	59414.19546
559	59412.18202
560	59405.20836
561	59391.34044
562	59381.2696
563	59371.86877
564	59359.66877
565	59351.6507
566	59337.99757
567	59329.60035
568	59321.27199
569	59310.61169
570	59301.5366
571	59285.73947
572	59280.07196
573	59265.74752
574	59254.5101
575	59245.89213
576	59237.12914
577	59226.46194
578	59203.01965
579	59199.21901
580	59190.97987
581	59186.14835
582	59175.99312
583	59168.32752
584	59160.81924
585	59146.44939
586	59134.7761
587	59125.41536
588	59116.72733
589	59103.20849
590	59074.39769
591	59063.84939
592	59058.40457
593	59042.32328
594	59033.33347
595	59008.87083
596	59001.27594
597	58983.75052
598	58979.37503
599	58967.65559
600	58960.88205
601	58954.54599
602	58939.70115
603	58929.56373
604	58912.2612
605	58886.26259
606	58873.19587
607	58857.58534
608	58841.99092
609	58831.64156
610	58818.26887
611	58808.93189
612	58795.97287
613	58771.92583
614	58756.53714
615	58752.44344
616	58729.44229
617	58723.29226
618	58718.24924
619	58701.41247
620	58688.39002
621	58684.16945
622	58676.72595
623	58669.26815
624	58660.73871
625	58635.524
626	58617.29668
627	58601.75178
628	58584.79621
629	58578.10546
630	58552.31163
631	58544.56816
632	58536.14833
633	58521.21246
634	58502.70865
635	58488.62338
636	58476.60052
637	58461.47627
638	58454.11989
639	58450.84414
640	58442.27514
641	58436.48271
642	58423.95476
643	58415.66909
644	58400.33157
645	58391.33192
646	58383.56702
647	58377.24828
648	58362.8913
649	58349.74286
650	58345.60594
651	58337.59399
652	58326.93734
653	58319.14681
654	58300.52527
655	58286.61923
656	58275.16131
657	58265.71262
658	58252.1967
659	58237.36317
660	58222.14344
661	58213.24174
662	58197.84199
663	58184.31199
664	58171.36624
665	58164.40206
666	58150.55024
667	58144.43276
668	58130.77336
669	58121.76476
670	58116.1206
671	58102.3386
672	58090.48083
673	58084.97949
674	58082.14141
675	58072.29894
676	58065.75256
677	58058.65225
678	58042.20754
679	58034.80343
680	58030.26555
681	58019.75088
682	58007.02173
683	57995.59884
684	57985.338
685	57971.13714
686	57959.11425
687	57946.42258
688	57929.2712
689	57922.21387
690	57910.80115
691	57896.65769
692	57892.62643
693	57883.3006
694	57872.35036
695	57864.94069
696	57846.29707
697	57840.37208
698	57831.126
699	57822.52944
700	57812.54353
701	57802.59875
702	57788.4596
703	57778.50226
704	57772.51974
705	57759.77559
706	57747.77895
707	57725.92986
708	57712.67337
709	57702.65022
710	57697.05862
711	57683.98645
712	57675.58486
713	57664.05593
714	57653.26986
715	57641.52102
716	57629.41375
717	57619.40543
718	57601.82953
719	57583.67582
720	57577.69205
721	57560.60196
722	57551.17705
723	57540.58877
724	57530.17917
725	57518.03322
726	57498.28659
727	57495.9051
728	57490.96479
729	57482.81442
730	57480.89398
731	57464.28829
732	57453.58947
733	57444.38199
734	57438.6872
735	57425.49304
736	57418.98184
737	57413.261
738	57401.2028
739	57389.84171
740	57384.48587
741	57364.00456
742	57346.27625
743	57342.61392
744	57329.23249
745	57321.48875
746	57313.71684
747	57313.60375
748	57301.98978
749	57293.73511
750	57287.88892
751	57280.83957
752	57265.4474
753	57255.80128
754	57248.69329
755	57242.94649
756	57231.83676
757	57227.29472
758	57220.57449
759	57211.76299
760	57207.67252
761	57196.3643
762	57183.97907
763	57176.98849
764	57158.8713
765	57142.65362
766	57126.3747
767	57122.50423
768	57116.24922
769	57105.19016
770	57098.97494
771	57095.91388
772	57088.22829
773	57081.96955
774	57070.69974
775	57063.05931
776	57052.0443
777	57046.33847
778	57036.95254
779	57022.34394
780	57007.15299
781	56995.34041
782	56986.50343
783	56980.08209
784	56970.17138
785	56967.20634
786	56955.97862
787	56936.03901
788	56932.19143
789	56924.03654
790	56917.93828
791	56906.52533
792	56898.43585
793	56887.1625
794	56877.07186
795	56865.05268
796	56861.32849
797	56845.07918
798	56838.23736
799	56833.44498
800	56826.10777
801	56823.09689
802	56805.69347
803	56795.0466
804	56787.14643
805	56783.99896
806	56778.25284
807	56774.41545
808	56761.39324
809	56757.98868
810	56747.10952
811	56737.73026
812	56735.53532
813	56719.15687
814	56708.9336
815	56700.34579
816	56687.43497
817	56674.88516
818	56665.25574
819	56656.52362
820	56652.75002
821	56649.79624
822	56643.75344
823	56631.21256
824	56624.13575
825	56617.50595
826	56612.13238
827	56609.14216
828	56599.20446
829	56599.09412
830	56593.07627
831	56573.45798
832	56554.32911
833	56540.3862
834	56536.4065
835	56530.10458
836	56522.39853
837	56518.66306
838	56508.28371
839	56501.60866
840	56491.60255
841	56487.44127
842	56474.79393
843	56468.59161
844	56465.02337
845	56449.2158
846	56444.00088
847	56432.38357
848	56421.9684
849	56402.0704
850	56396.23826
851	56386.55213
852	56375.56848
853	56367.72543
854	56356.45942
855	56351.79668
856	56339.66195
857	56330.57888
858	56325.65772
859	56319.13934
860	56311.7535
861	56304.08056
862	56284.48075
863	56270.44723
864	56263.07986
865	56255.86819
866	56244.23151
867	56240.28826
868	56229.42794
869	56218.86641
870	56214.75323
871	56214.4694
872	56211.47111
873	56196.85598
874	56190.19559
875	56176.25401
876	56163.19364
877	56148.76105
878	56140.60737
879	56137.10253
880	56133.16406
881	56127.11288
882	56111.25334
883	56109.05123
884	56102.55765
885	56093.56031
886	56079.81396
887	56073.94017
888	56067.57174
889	56064.27094
890	56055.97516
891	56046.99306
892	56034.97473
893	56031.65105
894	56020.63689
895	56005.87121
896	55998.82308
897	55985.28991
898	55964.93277
899	55951.84111
900	55938.03888
901	55931.77178
902	55926.31607
903	55916.87175
904	55905.28068
905	55900.2299
906	55893.27296
907	55886.53069
908	55883.77568
909	55879.20555
910	55871.51695
911	55865.26677
912	55857.6829
913	55838.42668
914	55834.48365
915	55821.51114
916	55814.68975
917	55812.99505
918	55806.62006
919	55800.07904
920	55794.34078
921	55783.95312
922	55777.05037
923	55764.069
924	55761.59117
925	55751.59592
926	55747.90472
927	55743.70541
928	55726.66712
929	55719.9709
930	55711.2859
931	55700.85889
932	55694.99893
933	55692.19033
934	55685.36648
935	55677.49425
936	55673.34297
937	55665.29037
938	55644.48221
939	55641.72898
940	55638.14393
941	55633.22902
942	55624.06187
943	55614.77968
944	55595.8704
945	55585.31947
946	55571.02963
947	55568.32149
948	55560.97848
949	55546.87877
950	55539.48703
951	55536.137
952	55519.02152
953	55509.06272
954	55495.80492
955	55489.00611
956	55481.90868
957	55478.50364
958	55470.26493
959	55467.95436
960	55452.523
961	55448.8993
962	55446.76297
963	55434.84722
964	55431.07149
965	55423.23401
966	55418.37905
967	55414.96931
968	55412.43194
969	55408.30158
970	55402.50839
971	55392.06472
972	55386.17308
973	55372.76292
974	55365.66984
975	55355.71539
976	55352.39801
977	55342.28454
978	55332.61001
979	55327.51288
980	55325.01643
981	55321.32596
982	55316.64557
983	55314.7001
984	55309.8913
985	55306.09575
986	55293.90894
987	55288.06244
988	55281.12952
989	55276.50939
990	55272.62951
991	55264.00212
992	55247.18887
993	55236.71055
994	55225.68587
995	55213.25183
996	55201.17758
997	55194.91436
998	55183.44676
999	55175.72037
